x-position,y-position,x-velocity,y-velocity,x-observable,y-observable
-2.20,-11.90,-0.20,-0.40,-2.29,-13.01
-2.30,-12.30,-0.10,-0.40,-2.59,-10.93
-2.50,-12.80,-0.20,-0.50,-2.27,-13.19
-2.80,-13.20,-0.30,-0.40,-2.56,-13.22
-3.00,-13.60,-0.20,-0.40,-3.17,-15.16
-3.30,-13.90,-0.30,-0.30,-3.58,-13.59
-3.60,-14.20,-0.30,-0.30,-3.61,-15.07
-3.90,-14.60,-0.30,-0.40,-4.23,-13.56
-4.10,-15.10,-0.20,-0.50,-2.02,-13.99
-4.20,-15.70,-0.10,-0.60,-3.04,-13.56
-4.20,-16.30,-0.00,-0.60,-4.76,-14.85
-4.20,-16.90,-0.00,-0.60,-2.01,-17.10
-4.20,-17.60,-0.00,-0.70,-3.94,-16.80
-4.20,-18.30,-0.00,-0.70,-5.02,-18.41
-4.20,-19.00,-0.00,-0.70,-3.65,-18.71
-4.20,-19.60,-0.00,-0.60,-4.14,-18.87
-4.30,-20.20,-0.10,-0.60,-2.95,-19.03
-4.50,-20.70,-0.20,-0.50,-5.00,-21.63
-4.80,-21.10,-0.30,-0.40,-6.36,-21.47
-5.20,-21.50,-0.40,-0.40,-7.07,-21.16
-5.70,-21.90,-0.50,-0.40,-4.96,-21.85
-6.20,-22.30,-0.50,-0.40,-5.30,-21.61
-6.70,-22.70,-0.50,-0.40,-5.75,-24.75
-7.30,-23.00,-0.60,-0.30,-9.04,-23.91
-7.80,-23.30,-0.50,-0.30,-8.39,-22.51
-8.30,-23.60,-0.50,-0.30,-5.32,-23.87
-8.70,-23.90,-0.40,-0.30,-10.21,-25.90
-9.10,-24.10,-0.40,-0.20,-9.75,-23.03
-9.60,-24.30,-0.50,-0.20,-9.44,-24.66
-10.20,-24.50,-0.60,-0.20,-10.70,-23.72
-10.90,-24.60,-0.70,-0.10,-10.80,-26.65
-11.70,-24.80,-0.80,-0.20,-10.65,-25.02
-12.60,-25.00,-0.90,-0.20,-13.55,-23.28
-13.50,-25.20,-0.90,-0.20,-12.32,-24.27
-14.40,-25.40,-0.90,-0.20,-15.17,-26.09
-15.30,-25.60,-0.90,-0.20,-14.45,-26.06
-16.20,-25.70,-0.90,-0.10,-14.32,-25.27
-17.10,-25.80,-0.90,-0.10,-17.69,-25.61
-18.00,-25.90,-0.90,-0.10,-18.93,-27.76
-18.80,-26.00,-0.80,-0.10,-18.84,-26.88
-19.60,-26.10,-0.80,-0.10,-18.80,-25.95
-20.40,-26.10,-0.80,-0.00,-22.30,-26.03
-21.20,-26.00,-0.80,0.10,-22.12,-26.37
-22.00,-26.00,-0.80,-0.00,-21.66,-26.30
-22.80,-26.00,-0.80,-0.00,-23.44,-25.05
-23.60,-26.00,-0.80,-0.00,-22.28,-27.02
-24.40,-26.10,-0.80,-0.10,-23.95,-24.12
-25.10,-26.30,-0.70,-0.20,-26.14,-26.15
-25.70,-26.50,-0.60,-0.20,-24.34,-27.41
-26.30,-26.80,-0.60,-0.30,-28.25,-26.75
-26.80,-27.10,-0.50,-0.30,-26.19,-27.89
-27.30,-27.40,-0.50,-0.30,-27.28,-26.11
-27.90,-27.60,-0.60,-0.20,-27.89,-27.19
-28.40,-27.80,-0.50,-0.20,-28.79,-28.69
-28.90,-27.90,-0.50,-0.10,-27.07,-27.65
-29.40,-28.00,-0.50,-0.10,-27.23,-29.95
-30.00,-28.00,-0.60,-0.00,-29.52,-27.85
-30.60,-28.00,-0.60,-0.00,-30.21,-27.78
-31.10,-28.10,-0.50,-0.10,-30.60,-26.24
-31.60,-28.20,-0.50,-0.10,-30.57,-28.46
-32.20,-28.30,-0.60,-0.10,-33.39,-28.26
-32.70,-28.40,-0.50,-0.10,-33.00,-28.88
-33.20,-28.40,-0.50,-0.00,-33.25,-28.58
-33.60,-28.40,-0.40,-0.00,-33.29,-27.30
-33.90,-28.40,-0.30,-0.00,-33.54,-28.30
-34.10,-28.50,-0.20,-0.10,-34.43,-27.11
-34.30,-28.60,-0.20,-0.10,-32.22,-28.66
-34.50,-28.80,-0.20,-0.20,-35.77,-28.84
-34.60,-29.00,-0.10,-0.20,-33.23,-27.63
-34.80,-29.10,-0.20,-0.10,-34.41,-26.90
-35.00,-29.10,-0.20,-0.00,-34.72,-29.26
-35.20,-29.20,-0.20,-0.10,-34.16,-29.53
-35.30,-29.30,-0.10,-0.10,-36.32,-29.92
-35.50,-29.40,-0.20,-0.10,-34.08,-27.60
-35.70,-29.50,-0.20,-0.10,-37.24,-29.96
-35.90,-29.60,-0.20,-0.10,-36.58,-28.82
-36.20,-29.60,-0.30,-0.00,-38.14,-28.84
-36.50,-29.60,-0.30,-0.00,-35.55,-27.77
-36.80,-29.50,-0.30,0.10,-37.43,-29.00
-37.20,-29.30,-0.40,0.20,-36.41,-27.47
-37.60,-29.10,-0.40,0.20,-37.52,-29.19
-38.00,-29.00,-0.40,0.10,-36.87,-28.74
-38.40,-28.90,-0.40,0.10,-38.87,-27.88
-38.80,-28.80,-0.40,0.10,-38.92,-28.67
-39.30,-28.80,-0.50,-0.00,-37.78,-27.85
-39.80,-28.70,-0.50,0.10,-41.37,-27.66
-40.20,-28.60,-0.40,0.10,-39.79,-27.94
-40.60,-28.50,-0.40,0.10,-41.64,-26.85
-41.10,-28.40,-0.50,0.10,-40.28,-28.10
-41.60,-28.30,-0.50,0.10,-42.75,-27.74
-42.20,-28.20,-0.60,0.10,-42.43,-29.01
-42.80,-28.10,-0.60,0.10,-45.16,-30.18
-43.40,-28.00,-0.60,0.10,-44.50,-26.93
-44.00,-27.90,-0.60,0.10,-43.67,-26.13
-44.70,-27.80,-0.70,0.10,-45.89,-27.05
-45.40,-27.70,-0.70,0.10,-46.43,-27.78
-46.00,-27.60,-0.60,0.10,-45.91,-25.82
-46.70,-27.50,-0.70,0.10,-47.44,-27.50
-47.50,-27.40,-0.80,0.10,-46.49,-28.97
-48.20,-27.40,-0.70,-0.00,-48.35,-26.71
-49.00,-27.50,-0.80,-0.10,-50.59,-28.34
-49.90,-27.70,-0.90,-0.20,-49.24,-27.66
-50.80,-27.90,-0.90,-0.20,-50.36,-29.02
-51.70,-28.10,-0.90,-0.20,-51.62,-28.05
-52.60,-28.30,-0.90,-0.20,-53.55,-29.03
-53.50,-28.60,-0.90,-0.30,-54.58,-28.86
-54.40,-28.90,-0.90,-0.30,-55.23,-28.88
-55.20,-29.30,-0.80,-0.40,-56.15,-29.41
-55.90,-29.70,-0.70,-0.40,-53.99,-31.33
-56.70,-30.10,-0.80,-0.40,-55.85,-30.65
-57.60,-30.40,-0.90,-0.30,-57.78,-29.40
-58.60,-30.70,-1.00,-0.30,-57.16,-31.82
-59.70,-31.00,-1.10,-0.30,-62.89,-31.27
-60.80,-31.20,-1.10,-0.20,-61.80,-29.76
-62.00,-31.50,-1.20,-0.30,-62.15,-31.15
-63.20,-31.90,-1.20,-0.40,-61.49,-31.17
-64.40,-32.30,-1.20,-0.40,-63.76,-33.39
-65.60,-32.80,-1.20,-0.50,-64.95,-33.14
-66.80,-33.30,-1.20,-0.50,-66.33,-32.83
-68.00,-33.90,-1.20,-0.60,-68.08,-34.31
-69.20,-34.50,-1.20,-0.60,-68.37,-33.02
-70.50,-35.10,-1.30,-0.60,-71.78,-33.31
-71.80,-35.70,-1.30,-0.60,-72.52,-36.22
-73.20,-36.30,-1.40,-0.60,-73.21,-35.88
-74.70,-36.90,-1.50,-0.60,-73.34,-34.70
-76.20,-37.60,-1.50,-0.70,-75.43,-37.12
-77.70,-38.30,-1.50,-0.70,-76.55,-40.50
-79.20,-39.10,-1.50,-0.80,-80.02,-37.67
-80.80,-39.80,-1.60,-0.70,-80.55,-40.14
-82.40,-40.50,-1.60,-0.70,-81.22,-41.67
-83.90,-41.10,-1.50,-0.60,-85.49,-43.06
-85.40,-41.70,-1.50,-0.60,-86.44,-42.57
-86.90,-42.30,-1.50,-0.60,-87.27,-42.99
-88.40,-43.00,-1.50,-0.70,-89.52,-43.38
-89.90,-43.80,-1.50,-0.80,-89.39,-45.27
-91.40,-44.60,-1.50,-0.80,-91.09,-43.51
-92.90,-45.40,-1.50,-0.80,-93.77,-45.69
-94.40,-46.20,-1.50,-0.80,-92.64,-45.99
-96.00,-47.00,-1.60,-0.80,-95.95,-43.84
-97.70,-47.80,-1.70,-0.80,-97.10,-48.11
-99.40,-48.70,-1.70,-0.90,-97.84,-48.01
-101.10,-49.60,-1.70,-0.90,-102.14,-50.76
-102.80,-50.40,-1.70,-0.80,-102.46,-51.29
-104.50,-51.30,-1.70,-0.90,-105.12,-51.28
-106.20,-52.10,-1.70,-0.80,-104.88,-52.00
-107.90,-53.00,-1.70,-0.90,-108.18,-52.96
-109.50,-53.90,-1.60,-0.90,-108.45,-54.11
-111.00,-54.90,-1.50,-1.00,-112.14,-55.61
-112.50,-55.90,-1.50,-1.00,-112.45,-55.10
-114.10,-56.80,-1.60,-0.90,-115.56,-55.16
-115.70,-57.70,-1.60,-0.90,-116.37,-58.25
-117.30,-58.60,-1.60,-0.90,-117.87,-59.04
-119.00,-59.40,-1.70,-0.80,-120.12,-60.37
-120.80,-60.20,-1.80,-0.80,-120.80,-60.67
-122.60,-61.00,-1.80,-0.80,-122.39,-61.06
-124.40,-61.80,-1.80,-0.80,-123.91,-61.00
-126.30,-62.60,-1.90,-0.80,-127.16,-62.17
-128.20,-63.40,-1.90,-0.80,-128.54,-64.94
-130.10,-64.10,-1.90,-0.70,-130.74,-62.64
-132.00,-64.80,-1.90,-0.70,-130.86,-63.18
-133.90,-65.50,-1.90,-0.70,-133.43,-65.90
-135.80,-66.20,-1.90,-0.70,-135.90,-65.24
-137.70,-66.90,-1.90,-0.70,-137.98,-66.80
-139.70,-67.70,-2.00,-0.80,-139.42,-68.17
-141.70,-68.60,-2.00,-0.90,-141.50,-67.52
-143.70,-69.50,-2.00,-0.90,-141.84,-69.36
-145.70,-70.50,-2.00,-1.00,-144.22,-68.96
-147.70,-71.40,-2.00,-0.90,-146.37,-70.71
-149.70,-72.20,-2.00,-0.80,-150.33,-72.14
-151.60,-73.00,-1.90,-0.80,-151.52,-73.03
-153.60,-73.90,-2.00,-0.90,-152.05,-72.72
-155.60,-74.70,-2.00,-0.80,-153.26,-76.26
-157.70,-75.50,-2.10,-0.80,-158.01,-75.09
-159.80,-76.30,-2.10,-0.80,-158.54,-75.22
-161.90,-77.10,-2.10,-0.80,-162.16,-76.06
-163.90,-78.00,-2.00,-0.90,-164.00,-79.11
-165.80,-78.90,-1.90,-0.90,-167.45,-79.61
-167.80,-79.80,-2.00,-0.90,-169.69,-78.31
-169.90,-80.60,-2.10,-0.80,-170.40,-80.91
-172.10,-81.30,-2.20,-0.70,-171.25,-81.01
-174.20,-82.00,-2.10,-0.70,-174.39,-81.88
-176.30,-82.70,-2.10,-0.70,-174.30,-82.10
-178.30,-83.40,-2.00,-0.70,-180.57,-84.04
-180.40,-84.00,-2.10,-0.60,-180.18,-83.78
-182.60,-84.60,-2.20,-0.60,-182.80,-84.71
-184.90,-85.20,-2.30,-0.60,-187.31,-83.92
-187.20,-85.90,-2.30,-0.70,-188.12,-86.23
-189.40,-86.50,-2.20,-0.60,-189.52,-85.90
-191.60,-87.10,-2.20,-0.60,-191.64,-88.27
-193.80,-87.80,-2.20,-0.70,-193.97,-89.32
-196.00,-88.40,-2.20,-0.60,-198.36,-89.21
-198.10,-88.90,-2.10,-0.50,-197.73,-87.45
-200.20,-89.30,-2.10,-0.40,-200.37,-89.46
-202.30,-89.70,-2.10,-0.40,-201.87,-88.88
-204.50,-90.20,-2.20,-0.50,-203.56,-90.62
-206.70,-90.80,-2.20,-0.60,-206.14,-90.62
-208.80,-91.40,-2.10,-0.60,-209.77,-91.91
-211.00,-92.00,-2.20,-0.60,-208.80,-91.50
-213.20,-92.60,-2.20,-0.60,-215.05,-92.85
-215.30,-93.20,-2.10,-0.60,-216.11,-92.23
-217.40,-93.80,-2.10,-0.60,-216.26,-94.15
-219.50,-94.40,-2.10,-0.60,-217.82,-94.37
-221.70,-95.10,-2.20,-0.70,-223.73,-96.01
-223.90,-95.80,-2.20,-0.70,-225.31,-96.70
-226.00,-96.50,-2.10,-0.70,-226.40,-97.33
-228.10,-97.20,-2.10,-0.70,-226.05,-96.61
-230.20,-98.00,-2.10,-0.80,-230.15,-99.14
-232.30,-98.80,-2.10,-0.80,-233.97,-97.51
-234.40,-99.60,-2.10,-0.80,-231.72,-99.62
-236.50,-100.40,-2.10,-0.80,-235.31,-100.46
-238.60,-101.20,-2.10,-0.80,-238.51,-101.60
-240.70,-102.10,-2.10,-0.90,-241.18,-100.47
-242.80,-103.10,-2.10,-1.00,-241.55,-104.55
-244.80,-104.10,-2.00,-1.00,-246.76,-104.61
-246.80,-105.00,-2.00,-0.90,-248.15,-103.88
-248.80,-105.90,-2.00,-0.90,-248.55,-105.78
-250.80,-106.70,-2.00,-0.80,-251.31,-106.05
-252.80,-107.40,-2.00,-0.70,-254.46,-106.50
-254.70,-108.10,-1.90,-0.70,-254.92,-108.60
-256.50,-108.80,-1.80,-0.70,-256.92,-108.06
-258.30,-109.40,-1.80,-0.60,-257.80,-109.99
-260.20,-110.10,-1.90,-0.70,-260.67,-111.28
-262.20,-110.90,-2.00,-0.80,-262.38,-111.89
-264.30,-111.70,-2.10,-0.80,-264.24,-111.82
-266.50,-112.50,-2.20,-0.80,-267.56,-113.91
-268.70,-113.40,-2.20,-0.90,-269.55,-113.14
-271.00,-114.20,-2.30,-0.80,-271.69,-114.53
-273.30,-114.90,-2.30,-0.70,-273.26,-116.00
-275.50,-115.60,-2.20,-0.70,-274.17,-114.73
-277.70,-116.40,-2.20,-0.80,-278.33,-115.47
-279.80,-117.30,-2.10,-0.90,-280.36,-116.87
-281.90,-118.20,-2.10,-0.90,-281.27,-118.70
-283.90,-119.00,-2.00,-0.80,-284.88,-119.27
-285.90,-119.80,-2.00,-0.80,-286.24,-119.81
-288.00,-120.60,-2.10,-0.80,-289.15,-119.93
-290.10,-121.40,-2.10,-0.80,-291.74,-120.62
-292.10,-122.30,-2.00,-0.90,-292.65,-123.58
-294.10,-123.30,-2.00,-1.00,-294.10,-123.39
-296.00,-124.20,-1.90,-0.90,-297.10,-125.76
-298.00,-125.10,-2.00,-0.90,-298.45,-125.77
-300.00,-126.00,-2.00,-0.90,-301.00,-124.66
-302.00,-126.90,-2.00,-0.90,-304.22,-125.65
-304.10,-127.80,-2.10,-0.90,-302.69,-126.19
-306.20,-128.60,-2.10,-0.80,-305.83,-129.78
-308.20,-129.40,-2.00,-0.80,-309.60,-129.57
-310.10,-130.20,-1.90,-0.80,-310.71,-130.01
-312.00,-131.00,-1.90,-0.80,-313.56,-129.48
-313.80,-131.80,-1.80,-0.80,-314.05,-131.67
-315.60,-132.50,-1.80,-0.70,-315.50,-131.97
-317.50,-133.20,-1.90,-0.70,-318.62,-133.16
-319.50,-133.90,-2.00,-0.70,-319.43,-133.31
-321.50,-134.60,-2.00,-0.70,-318.68,-135.70
-323.60,-135.30,-2.10,-0.70,-323.25,-136.70
-325.70,-135.90,-2.10,-0.60,-324.60,-136.64
-327.80,-136.50,-2.10,-0.60,-328.94,-136.72
-329.90,-137.20,-2.10,-0.70,-329.33,-139.66
-332.00,-138.00,-2.10,-0.80,-333.78,-139.00
-334.10,-138.70,-2.10,-0.70,-333.18,-137.04
-336.20,-139.40,-2.10,-0.70,-335.57,-137.42
-338.30,-140.10,-2.10,-0.70,-340.00,-139.12
-340.40,-140.90,-2.10,-0.80,-338.86,-140.50
-342.50,-141.70,-2.10,-0.80,-341.57,-141.36
-344.70,-142.60,-2.20,-0.90,-343.37,-144.47
-346.90,-143.50,-2.20,-0.90,-347.61,-142.24
-349.10,-144.40,-2.20,-0.90,-348.11,-144.84
-351.20,-145.20,-2.10,-0.80,-353.06,-145.16
-353.30,-146.10,-2.10,-0.90,-352.43,-145.13
-355.40,-146.90,-2.10,-0.80,-355.20,-147.30
-357.60,-147.70,-2.20,-0.80,-358.71,-147.34
-359.80,-148.50,-2.20,-0.80,-358.72,-148.01
-362.10,-149.30,-2.30,-0.80,-362.20,-149.52
-364.30,-150.20,-2.20,-0.90,-365.28,-151.47
-366.60,-151.10,-2.30,-0.90,-365.77,-151.02
-368.90,-151.90,-2.30,-0.80,-370.21,-152.14
-371.30,-152.60,-2.40,-0.70,-370.91,-152.52
-373.80,-153.30,-2.50,-0.70,-374.44,-152.41
-376.30,-153.90,-2.50,-0.60,-376.51,-152.65
-378.80,-154.50,-2.50,-0.60,-376.89,-155.81
-381.30,-155.10,-2.50,-0.60,-380.99,-153.67
-383.80,-155.70,-2.50,-0.60,-382.41,-156.66
-386.20,-156.30,-2.40,-0.60,-386.67,-155.44
-388.60,-157.00,-2.40,-0.70,-387.70,-157.02
-391.00,-157.60,-2.40,-0.60,-393.96,-156.70
-393.50,-158.10,-2.50,-0.50,-394.19,-157.75
-395.90,-158.60,-2.40,-0.50,-395.56,-157.44
-398.30,-159.10,-2.40,-0.50,-397.12,-159.33
-400.70,-159.70,-2.40,-0.60,-400.89,-158.19
-403.10,-160.40,-2.40,-0.70,-404.94,-159.77
-405.40,-161.10,-2.30,-0.70,-403.98,-160.60
-407.70,-161.80,-2.30,-0.70,-407.12,-161.91
-409.90,-162.50,-2.20,-0.70,-408.95,-160.99
-412.00,-163.20,-2.10,-0.70,-410.40,-161.84
-414.20,-163.90,-2.20,-0.70,-415.35,-163.12
-416.40,-164.50,-2.20,-0.60,-417.08,-164.37
-418.60,-165.10,-2.20,-0.60,-416.65,-164.96
-420.80,-165.70,-2.20,-0.60,-421.02,-167.09
-423.10,-166.20,-2.30,-0.50,-423.86,-166.78
-425.50,-166.60,-2.40,-0.40,-426.46,-168.14
-428.00,-167.00,-2.50,-0.40,-428.23,-167.66
-430.50,-167.40,-2.50,-0.40,-428.92,-169.12
-432.90,-167.80,-2.40,-0.40,-433.26,-167.20
-435.30,-168.20,-2.40,-0.40,-435.58,-167.65
-437.70,-168.70,-2.40,-0.50,-435.66,-168.55
-440.20,-169.20,-2.50,-0.50,-440.23,-170.74
-442.70,-169.70,-2.50,-0.50,-442.69,-171.59
-445.10,-170.20,-2.40,-0.50,-443.98,-169.87
-447.50,-170.60,-2.40,-0.40,-448.68,-170.11
-450.00,-171.10,-2.50,-0.50,-451.55,-170.75
-452.60,-171.50,-2.60,-0.40,-450.98,-170.90
-455.20,-171.90,-2.60,-0.40,-454.62,-170.96
-457.80,-172.30,-2.60,-0.40,-457.37,-172.80
-460.40,-172.70,-2.60,-0.40,-462.08,-173.90
-463.00,-173.10,-2.60,-0.40,-463.36,-173.46
-465.60,-173.60,-2.60,-0.50,-466.10,-172.56
-468.30,-174.00,-2.70,-0.40,-466.72,-174.44
-470.90,-174.50,-2.60,-0.50,-472.54,-176.21
-473.50,-175.10,-2.60,-0.60,-474.09,-175.96
-476.10,-175.60,-2.60,-0.50,-475.50,-175.43
-478.70,-176.20,-2.60,-0.60,-478.85,-175.92
-481.30,-176.80,-2.60,-0.60,-482.35,-177.28
-483.90,-177.50,-2.60,-0.70,-482.85,-176.81
-486.50,-178.10,-2.60,-0.60,-486.97,-178.34
-489.00,-178.70,-2.50,-0.60,-488.76,-178.50
-491.50,-179.20,-2.50,-0.50,-493.41,-178.55
-494.00,-179.70,-2.50,-0.50,-494.40,-180.94
-496.50,-180.10,-2.50,-0.40,-495.01,-179.15
-499.00,-180.50,-2.50,-0.40,-497.47,-180.74
-501.40,-180.90,-2.40,-0.40,-499.74,-182.41
-503.80,-181.30,-2.40,-0.40,-503.86,-182.20
-506.20,-181.60,-2.40,-0.30,-506.01,-180.55
-508.70,-181.90,-2.50,-0.30,-509.44,-183.01
-511.20,-182.20,-2.50,-0.30,-511.70,-181.60
-513.70,-182.40,-2.50,-0.20,-513.01,-181.43
-516.30,-182.60,-2.60,-0.20,-516.60,-182.84
-519.00,-182.80,-2.70,-0.20,-518.89,-183.61
-521.70,-183.00,-2.70,-0.20,-523.03,-185.59
-524.40,-183.30,-2.70,-0.30,-524.84,-184.27
-527.00,-183.60,-2.60,-0.30,-526.79,-185.87
-529.60,-183.80,-2.60,-0.20,-529.83,-184.40
-532.20,-184.00,-2.60,-0.20,-533.50,-185.26
-534.80,-184.10,-2.60,-0.10,-535.66,-184.36
-537.30,-184.30,-2.50,-0.20,-536.05,-185.25
-539.70,-184.60,-2.40,-0.30,-539.43,-183.93
-542.20,-184.90,-2.50,-0.30,-541.16,-184.41
-544.60,-185.10,-2.40,-0.20,-544.86,-184.48
-547.10,-185.20,-2.50,-0.10,-546.26,-185.72
-549.70,-185.30,-2.60,-0.10,-549.32,-183.98
-552.30,-185.30,-2.60,-0.00,-552.86,-186.93
-554.90,-185.30,-2.60,-0.00,-553.03,-185.91
-557.60,-185.40,-2.70,-0.10,-556.89,-184.62
-560.30,-185.60,-2.70,-0.20,-559.90,-185.58
-563.00,-185.70,-2.70,-0.10,-565.39,-185.73
-565.60,-185.90,-2.60,-0.20,-564.40,-184.21
-568.20,-186.20,-2.60,-0.30,-568.17,-186.07
-570.80,-186.40,-2.60,-0.20,-571.45,-185.77
-573.40,-186.60,-2.60,-0.20,-573.23,-186.59
-576.10,-186.80,-2.70,-0.20,-576.49,-186.45
-578.80,-186.90,-2.70,-0.10,-578.29,-187.35
-581.60,-187.00,-2.80,-0.10,-582.76,-186.54
-584.40,-187.10,-2.80,-0.10,-583.00,-186.63
-587.20,-187.10,-2.80,-0.00,-588.72,-185.25
-590.10,-187.10,-2.90,-0.00,-589.49,-187.48
-592.90,-187.20,-2.80,-0.10,-592.66,-186.99
-595.70,-187.30,-2.80,-0.10,-597.93,-187.05
-598.50,-187.50,-2.80,-0.20,-598.29,-189.18
-601.30,-187.70,-2.80,-0.20,-602.25,-187.07
-604.10,-187.90,-2.80,-0.20,-603.86,-187.50
-606.90,-188.00,-2.80,-0.10,-607.90,-188.49
-609.80,-188.10,-2.90,-0.10,-611.25,-187.45
-612.70,-188.30,-2.90,-0.20,-610.75,-189.41
-615.60,-188.50,-2.90,-0.20,-614.33,-187.64
-618.50,-188.70,-2.90,-0.20,-618.00,-187.86
-621.50,-188.90,-3.00,-0.20,-621.59,-186.95
-624.40,-189.10,-2.90,-0.20,-624.02,-188.79
-627.30,-189.40,-2.90,-0.30,-627.19,-190.64
-630.10,-189.60,-2.80,-0.20,-631.57,-188.58
-632.90,-189.70,-2.80,-0.10,-633.34,-190.09
-635.70,-189.70,-2.80,-0.00,-634.97,-188.67
-638.60,-189.60,-2.90,0.10,-637.33,-189.58
-641.50,-189.50,-2.90,0.10,-640.03,-190.32
-644.40,-189.30,-2.90,0.20,-644.41,-187.86
-647.20,-189.00,-2.80,0.30,-648.21,-189.12
-649.90,-188.60,-2.70,0.40,-650.12,-187.84
-652.60,-188.30,-2.70,0.30,-653.24,-188.20
-655.40,-188.10,-2.80,0.20,-655.92,-187.82
-658.20,-187.90,-2.80,0.20,-660.51,-186.17
-661.00,-187.70,-2.80,0.20,-661.39,-187.64
-663.90,-187.50,-2.90,0.20,-663.38,-187.94
-666.80,-187.20,-2.90,0.30,-664.99,-185.72
-669.70,-186.90,-2.90,0.30,-670.77,-187.37
-672.50,-186.70,-2.80,0.20,-671.61,-185.62
-675.40,-186.50,-2.90,0.20,-675.95,-186.76
-678.30,-186.30,-2.90,0.20,-677.08,-187.56
-681.20,-186.10,-2.90,0.20,-680.58,-185.78
-684.00,-185.80,-2.80,0.30,-686.02,-188.09
-686.80,-185.60,-2.80,0.20,-686.90,-185.53
-689.60,-185.40,-2.80,0.20,-689.51,-185.93
-692.40,-185.30,-2.80,0.10,-693.24,-186.66
-695.10,-185.30,-2.70,0.00,-693.77,-185.47
-697.80,-185.30,-2.70,0.00,-696.84,-186.46
-700.50,-185.20,-2.70,0.10,-701.15,-185.13
-703.20,-185.00,-2.70,0.20,-701.94,-185.39
-706.00,-184.70,-2.80,0.30,-704.78,-184.87
-708.80,-184.40,-2.80,0.30,-707.82,-184.20
-711.70,-184.00,-2.90,0.40,-710.71,-184.82
-714.60,-183.60,-2.90,0.40,-714.27,-183.46
-717.50,-183.10,-2.90,0.50,-717.03,-182.49
-720.30,-182.50,-2.80,0.60,-718.40,-183.80
-723.10,-181.90,-2.80,0.60,-723.44,-182.49
-725.90,-181.30,-2.80,0.60,-726.83,-181.35
-728.70,-180.60,-2.80,0.70,-729.36,-179.08
-731.50,-179.90,-2.80,0.70,-731.17,-178.76
-734.30,-179.20,-2.80,0.70,-734.76,-179.38
-737.10,-178.50,-2.80,0.70,-735.78,-179.91
-739.80,-177.80,-2.70,0.70,-740.36,-178.22
-742.50,-177.10,-2.70,0.70,-743.84,-177.89
-745.20,-176.30,-2.70,0.80,-744.60,-175.95
-747.90,-175.50,-2.70,0.80,-747.39,-176.49
-750.60,-174.70,-2.70,0.80,-751.29,-173.31
